reviewId,review,Ticketing,Information Channels,Travel Experience
fcfb8f0e-333a-482b-9e77-89d123abd7e5,sangat membantu saat akn bepergian,,,
e0496420-d5af-4e3b-a632-ab24510a807c,"sudah di coba berkali2 tetep gak bisa melakukan pembayaran, pas ada kendala di perjalanan sebelum nya akhirnya kami telat alias tidak bisa datang tepat waktu sesuai waktu tiket, akhirnya tiket kami pun hangus dan gak bisa di reschedule dan cancel",negatif,negatif,
2b9a03c7-ce39-4852-9c5f-e965776ea2f8,sayangnya tidak semua bus di tampilkan,,negatif,
b772cf7b-e2e3-4f8b-ac77-e22ad6097514,Aplikasi ga jelas,,,
93105b6e-2147-4361-a0aa-6b23cbec50cf,oke,,,
1111b4c8-1eb2-4758-8cda-c8e95e64ea20,mantap,,,
ca4ef69a-0110-4415-8961-aebf5c17ca1f,saya mau raimburse susah sekali sudah 1 bulan tdk ada respon bantuan di aplikasi muter² aja sampai gmail haduhhh,,negatif,
6c2354e1-ac28-4281-a67c-9733c5156bc1,Memudah saya dalam bepergian menggunakan armada Bus...🤓👍🏻,,positif,
91eac25d-16a1-4dbe-b7f4-e14927662865,refound tidak sampai hingga saat ini tolong kejelasan!,,negatif,
9d0e6ca6-d310-4028-8aad-073a246908f4,on time,,,positif
846fbf3e-e857-4a09-9750-b738c1781c12,"kenapa dalam tiap pencarian rute bus selalu dijawab ""tidak ditemukan bus",,negatif,
d9ff9ba4-07e2-4401-a9f9-b573e153d3ef,bagus,,,
9caf7997-1ca4-4d91-8dc4-8885ed18bbaf,👍👍,,,
8fd2df4d-3e48-4b3a-a6f7-bbe83e0b8650,baik sangat membantu,,,
bac48347-de86-4f57-88ff-545e749f8065,mudah download dan mudah menggunakan aplikasi,,positif,
fb39f598-7a50-403c-9c95-264f506772c3,voucher saya gk bisa dipakai 🤦‍♀️,negatif,,
43eb9357-f99f-40c9-a72c-7c5170b10bdc,Aplikasi yang sangat bagus membantu perantau,,,
488aca36-9015-4aa2-b696-78f2fe539d19,"aplikasi sudah jelas tetepi pihak okum nya gak jelas banget, buat kalian yang mau pake aplikasi ini hati hati gak jelas banget kurang pengarahan",,,negatif
b7cbbc46-1e37-4ad4-9188-f5f40d8f77ba,nice apk,,,
0bacce80-610e-4d5f-9cdf-0050db9d854d,puas perjalanan memakai travel arnes,,,positif
bc622bad-a727-40de-b47f-b7a170635c9f,aplikasi yang filternya kurang Smart,,negatif,
62250cad-450a-47e9-848e-415e938fac15,oke,,,
88862f11-b5ea-4547-b78c-a8873539c852,banyakk kupon promo,positif,,
86024ed0-c21c-473d-b5d6-28bd0260b165,Memudahkan mencari rute bis serta kemudahan dlm pembayaran juga... Makasih,positif,positif,
91da82bf-7dd4-4c1b-a0b0-4b6484533abe,aplikasi third party ga ada otak. yg hanya mementingkan keuntungan sepihak,,,
417dc37a-1657-480d-833f-07e5cada5a51,mudah dan sangat jelas,,,
b2efd25d-87ca-41a0-be79-94ba8dda9084,mantap aplikasi ini sangat membantu,,,
427f4294-5136-4ecb-938b-6c415de43294,cepat,,,
11ba23f1-b604-4435-9d15-6a7081e83123,mantap mantap top markotop,,,
3ea6fe75-c1e5-4b06-bc60-f436ca564f53,perjalanan yg menyenangkan,,,
3ae8a069-58e4-4890-b25b-198ec9a610a4,mantap,,,
f8308b32-42d2-4b56-993b-7ad01416bcd2,baik,,,
7ce33fa2-17df-4115-aa16-586228adc9b0,sangat membantu sekalii. armada bisnya diperbanyak lagi biar banyak pilihan bisnya,,positif,
445173db-818b-4a03-b858-7e533fa50ff9,good aplikasi,,,
05ccb241-d7d5-4295-a63f-2cb04d670445,coba coba beli tiket online,,,
927f3f50-441f-4f73-aba8-c63c6461f7b7,Lebih mudah cari Bus sesuai dengan kebutuhan pribadi.,,positif,
d9a008d4-a983-4f48-8822-61df28c58fdf,semoga bermanfaat,,,
2cf9abfb-f2c0-4b59-8d63-329bc56f46b9,sangat membantu,,,
06422c82-09cf-422f-b1a3-2d02b2e7a45a,Aplikasi tidak jelas,,,
f02851ea-250f-4a91-aa2b-9f37459e6cb2,best,,,
de49b9d1-0dbf-4f30-9c71-1188b225a381,One of the applications that must be available for those who travel frequently,,positif,
d5ff00c2-5eb2-46ab-8ecb-88a33d21a800,so far so good,,,
16e87369-93e2-47aa-aaf8-603b558112dc,semoga terkait problem saya bisa diselesaikan dengan baik respon yang sangat sigap untuk tim sosmed nya redbuss💪🔥 saya tunggu terkait refund saya 🙏,,positif,
d694d1b6-c997-42e2-9123-a25a2fb435a9,mempermudah pesen tiket bus tanpa perlu ke agen,positif,,
4588af19-3048-40b8-8e4a-e19ede15deec,good,,,
ba8b9b43-5c2b-4fd5-9078-982cab614f9f,sangat membantu,,,
bd90c656-f57a-43c8-97df-4e56e857ff11,kenapa harus ada pilihan tanggal di pencarian,positif,,
98bc2dae-670c-4af1-b5ca-bca2bfd63e9b,mohon maaf min 3 hari yg lewat saya melakukan pembelian tiket tp kesalahan saya salah kirim nominal saya udah email tp belum ada keterangan lebih lanjut,,negatif,
5ea35cba-2969-4470-b9b2-b96bfdf123c0,Foto fasilitas bus banyak yang tidak sesuai. Keberangkatan aplikasi dengan realita ngaret 3 jam.,,negatif,negatif
cc23bd24-b50f-4038-9688-fac103801ae9,apk nya sangat membantu kita saat ingin. berpergian,,,
7db7a31d-a3d1-4533-a44a-b4076309ef97,mudah di akses dan simple,,positif,
5e14b169-cbd2-4275-a02d-1dc4dca80be5,aplikasinya mantap byk promo,positif,,
8b5ca43a-ab85-4bf9-8827-51418d5f3577,best Bus App!,,,
88958bdb-7e4d-432e-9e97-f2e71a4ae602,kursi diacak semaunya aja,,,
0718920d-f295-4737-80ae-53e5a8d45ea8,sangat tidak direkomendasikan sudah jelas aku pesan tiket 5 hari sebelum keberangkatan sudah dapat email sudah dapet pesan wa tapi ketika sampai diterminal keberangkatan tiket aku tidak terdaftar dari pihak aplikasi nomor pihak aplikasi tidak ada yang bisa dihubungi pengalaman pertama dan terakhir untuk aplikasi seburuk ini,negatif,negatif,negatif
99380e9a-fdca-4b75-a693-1234b138d002,sudah mau cekout sudah proses pembayaaran mala ga bisa,negatif,,
5c141f9f-3861-48e6-ac6f-b0b8a78598fd,bagus mantap,,,
323f9675-7329-4b86-af1a-4a4fb9aabe80,ok,,,
a28da4df-f65c-4dc0-8841-0bc5bd880bdb,pemesanan tiket ga sesuai kursi pesanan di pindah2 kecewa banget asli,,,negatif
ae3fc0f5-ffd9-4bfd-856e-1016109bd881,gabisa pesen dari bali ke luar bali,,,
c8dbd6b8-05cb-44df-bbbc-e018b54210f8,ok,,,
1b509e12-bfd5-41b1-869a-806d6a372e2d,"udah 3 nomer hp temen make kode refferal saya, bahkan gabisa make kode NEW atau Barurb. lici si sistemnya",,negatif,
739dc637-7cd3-49fc-9b0a-54127a202631,mantap deh red bus,,,
a65be925-06b1-4142-9f25-5fc160379f31,hari pertama kali beli online bis mahkota dr Tj Priok ke Ngawi TDK tepat waktu. jd kapok beli online kalo tdk bisa cari mitra yg bisa dipercaya.kami sampai nunggu 2 jam gak datang bis nya,,,negatif
89013554-1d3e-4e73-95c9-ab2b2821b5d5,untuk rute Surabaya ke Jember kok pilihan armada busnya cuma itu2 aja,,,
0831113a-72b0-42fb-8708-946ed5b102b0,pihak Bus seenaknya ganti jadwal,,negatif,negatif
bbee17d7-252d-40ab-9324-13b9c87354eb,mantap,,,
4ea9615a-9fda-48ee-8333-0e4909f496d8,Sangat Membatu gaaaaaes,,,
52d711cf-61ab-4ec3-a7b5-d3547b177624,saat ini aplikasinya susah,,,
eecfac61-50eb-4755-86eb-800ead84d3d8,aplikasi ga jelas nomor kontak center ga jelas gabisa dihubungi pesen tiket gagal dana tidak dikembalikan kocak,negatif,negatif,
e0ef2f33-1814-4a76-b410-b98520c8464a,banyak memberikan pilihan/alternatif bis yg diinginkan penumpang baik harga maupun tujuan yg perlu saran coba semua bis bisa konsisten tepat waktu saat penjemputan juga saat sampai di temoat tujuan,,,
b338b9a6-acba-4a7e-80e6-4e96251484a0,mudah digunakan,,positif,
b43b1b50-0da7-4b50-b586-b02d66e6f8c1,dapat diskon kalau beli di sini,positif,,
24bce6f1-d58b-4901-9704-390f4375685a,Subject: Komplain Keterlambatan Parah & Permintaan Refund Saya penumpang BUS Kramat Djati rute Probolinggo – Jakarta (jadwal 21:00). Saya sudah standby dari jam 20:00 dan menunggu lebih dari 3 jam tanpa kepastian. Crew hanya memberi info tidak jelas dan terakhir mengatakan bus datang jam 1–2 pagi. Ini keterlambatan sangat lama dan tidak sesuai layanan. Saya minta refund penuh atas tiket ini.,,,negatif
c065d6b6-0771-4450-8cf8-3d890df0af7e,saya sudah melakukan pembayaran,,,
1444fb88-5eb3-4783-8516-501510779f1c,nggk bisa pesen tiket,,,
65337eab-a7b4-4b7e-aedd-b2516e414659,harga lebih murah dari loket,positif,,
1a1fa172-c9ee-4871-a154-7c21c3aa1d8a,"tidak ada pemberitahuan titik lokasi naik, g lagi bli tiket di redbus, d hubungin pun g bisa, se enggaknya ada konfirmasi, titik naik d mna, yg pasti, kta taunya diterminal raja basa, tpi di maps, di arahinnya beda, koplak, kapok gua langsung gua hpus, ni aplikasi",,negatif,negatif
af9955d7-3e04-4868-9049-099c267dffac,keren 👍🏻👍🏻😁,,,
6bb0510e-7acc-48c9-bf27-988a1d5ce0c2,tolong dong pihak redbus kalau bikin informasi tentang jam berangkat dan nyampe itu disinkronkan yg betul dg pihak PO bus biar ga merugikan penumpang. saya hari ini naik bus PO sumber alam dari pasar Kemis tujuan Bumiayu. kenapa saya milih bus ini walaupun harganya diatas PO lain? karena saya ngejar waktu. di aplikasi keterangan jam berangkat jam 14.00 nyampe tujuan jam 21.17. tapi aktualnya berangkat jam setengah 3 lebih nyampe tujuan jam 2 kurang. kan menyesatkan begini mah..,,,negatif
169ae9f6-1cd6-45da-9dcc-6b11981238d4,good trans bus,,,
7ef6d759-f54e-41b0-8b6e-6f059f489ea8,sangat mudah di pesan,positif,,
d0256db0-48f7-4906-8965-255c980cb588,over all good,,,
92c05cc4-1df7-44d1-a955-340e597add83,pesan tiket melalui redbus mudah & murah.,positif,positif,
57e7257b-7cf8-4d19-88fd-740cb548bfa5,terimakasih Agra mas pelayanan terbaik Surabaya jakarta tidur pules suspensi empuk sr009,,,positif
6cb207ba-b80f-4c58-8c54-aed361b03b38,gk bisa msuk,,,
b5e31bec-9084-4d47-bc45-f3bf48cb25e4,keren,,,
c1b9ae33-99d5-4617-8fdd-e6d74bc3157c,sangat membantu good lanjutkan,,,
b5e8832a-57d5-4dc1-85bf-0fb5d05af33b,simpel dan mudah di mengerti..joz gandos domestos cosmos👍😇😇👍👍👍👍👍,,positif,
63ae1494-1722-487a-85c5-1c1c70e30a73,tiap pembelian tiket pasti aja ada pembayaran gagal,negatif,,
9802fb4e-2bf3-4cb5-9230-d58655678934,aplikasi yang sangat membantu,,,
ba79ed5f-2beb-48f7-a5bd-4e879e6b5934,ok,,,
d3553792-ae7b-4690-af7c-bc517416379e,bersih kedatangan tepat waktu malah dtg sebelum jam nya,,,positif
c4ac8bd2-4c19-4db5-ad7d-c202484a039b,Aplikasi sudah sangat bagus,,,
6de51900-039f-446c-b50e-7e7c6cd6e07f,sangat dipermudah dalam pembelian tiketnya,positif,positif,
d4c5b933-3017-4905-8050-188b16930f21,puas,,,
2006401c-258a-40f1-8c65-7316ffd51d7f,🅑🅐🅖🅤🅢,,,
e0ce0111-9b53-4c2d-8dbe-c0f637cc1d2c,sangat menbantu,,,
2b52dd97-6539-402a-b6a1-5f62d9a95748,Sangat membantu mendapatkan transportasi yang sesuai,,,
eda7dfa8-88fb-4352-97f0-8076ed3c1bf0,"menawarkan kemudahan dengan fitur pencarian cepat, menyediakan banyak operator bus dan harga transparan.",,positif,
ff650fb3-6cf0-4463-8f4b-7debfb74dfb3,aplikasi yang sangat memudahkan kita mencari armada bus kendaraan,,positif,
53c258f6-47ee-4b3a-a116-49e10bbfa41a,sangat membantu,,,
187d2f02-8c54-482d-abd9-778b86795514,Selalu terbaik dan keren redBus...💥💫 Mantap..💫,,positif,
0e26857b-d485-4af6-a77d-7f2c7a3a1276,"baru kali ini mudik naik bis via apk. redbus ini, berasa kaya naik pesawat, semuanya bagus, jadi mau mudik paket bis selalu kalau gini ceritanya.",,positif,positif
5a0eb98b-64e0-4c76-b71c-8bbd4f3d666a,good,,,
8ed4663e-00f0-4d25-922d-4a03939a556a,goood,,,
364898be-493e-439c-a96c-66e035e221d3,mantap,,,
f0cc85c4-b6e1-4b73-a17c-8030d53df486,"Parah banget pengalaman pakai RedBus. Udah beli tiket 2 perjalanan biar lancar, GAK USAH PAKAI APLIKASI INI!!!, APLIKASI INI CUMA MERUGIKAN PENUMPANG!!!! WORST APP!!!!!!",,,
acc90193-5a26-4e2c-9e49-6bb417734aab,"gw ga bisa kembali uangnya, . kemudian staff ikut membantu membuat laporan karena memang benar. dan Alhamdulillah akhirnya uang kembali full, terima kasih staff redbuss, semoga kejadian ini bisa menjadi lebih baik lagi .dan memperbaiki kesalahan yang terjadi tidak terulang kembali. gbu.",,,
2e3853c8-c46d-4a33-b415-869bd22f47dc,"Belum dari RedBus, bus terlambat tdk ada konfirmasi. Kecewa banget deh.",,negatif,negatif
3b860543-ed8b-41fb-af9a-709d8680bf17,mohon rute di tambah sampe lintas Sumatera biar enak gak ganti bus kalo dari daerah jawa,,,
36248ef5-c9e2-41e2-8d3a-58e294d654fe,Dengan aplikasi dana cepat pembayarannya,positif,,
76fc72e9-5b07-48c9-8db3-525e9d7fcfb2,"admin nya fast respon bgt, rekomend bgt si buat yg mao mesan tiket bus dsini🤙🤙",,positif,
773200e7-0be5-4005-88cd-b02130d71791,proses pesan tidak ribet sih...,positif,,
108974ac-1aa4-48ff-bb95-0c27f2d1478c,admin nya fast respon di dm ig redbus indonesia,,positif,
c05faf00-2c2e-45e9-9699-bfee2d9aef1b,mantap yg saya rasakan pribadi mulai dari tiket bisa atau pun refund gampang banget makasih redbus,positif,positif,
a135beba-09eb-4204-82c4-2bcd2581736b,Ok,,,
6200b68f-d5ef-417f-935f-75534288a2cf,gabisa pesen bis,,,
d174785c-93b3-45ae-b83c-f4949ce2a87e,kata ku sih gausa mesen lewat apk ini ya brkali kali ngecancel tiket tp refund susah bgt kembalikan uang saya 240rb tolong segra di tf kalian yg cancel tiket seenaknya sendiri giliran refund susah ! ini kesalahan kalian bukan kesalahan saya!,,negatif,
881105b6-8adf-4387-a817-d485e0a6363b,responsif app nya keren banyak pilihan armadanya 👍👍👍,,positif,
982f32b6-2740-46d7-9cea-70c848c612f1,saya pesan bus tujuan Pulo gebang naik di terminal belik udah pilih tempat duduk malah dapet kursi CC ternyata cadangan duduk di kursi plastik depan toilet gimna si udah milih tempat duduk malah dapet kursi CC PO bus PEBEPE.saya bayar full kenapa malah duduknya dikursi plastik gimna pertanggung jawabannya ini,,,negatif
433c82ad-cbe9-4118-9970-4eda6f2644bd,Memudahkan pemesanan bus antar kota,positif,positif,
4cb65546-4596-4c9f-8fc6-3519bb6798ed,pengalaman dengan pembelian tiket dan perjalanan menaiki bus,,,
d18df65c-5da7-4035-b2a7-7f5156e6a040,apakh cuma sedikit saja po bus yang ada di apk dan tidak jelas kemarin saja sulit cari bus padahal banyak bus dengan po beroperasi dan masih kosong sampai saya harus beli ke agen,,negatif,
5d51660e-2db5-486c-af08-f4a72154abbc,bagus,,,
32f63eff-7af1-4e33-b2d8-3ecaf3f1f7ac,Harga tiket dengan yang di Terminal Sangat jauh bedanya,,,
6f3316d6-fb6d-4148-8e2b-de3feea02965,oke,,,
85a826df-c149-45be-b30d-2cf679bb08e3,baguss,,,
d46727d0-07bd-4211-bd2f-21227dec3cd4,okay gampang menggunakan nya,,positif,
f107c3ff-51ab-4f75-a71b-a329e5cc2d63,Good Job dan Customer Service good,,positif,
40ad94c6-fadd-4c44-a943-c6a21650a6aa,sudah TF TPI gak dapet tiket trus udah chat lewat email TPI di acuh kan,negatif,,
bb5295cd-9974-4f22-966d-1e05f8758b95,ok,,,
b8f0e298-bd50-4c52-97e0-72c17f186496,satset pren,,,
14dc7e07-8277-4eb7-a41f-9c3902295cb2,bayar mahal. tapi dapet bus ga sesuai perjanjian,negatif,,negatif
af8d7f40-9913-4bee-b05c-436ed4098d97,min tolong bantu dong pembayaran gagal di aplikasi redbusnya tapi di gopay dah ke sedot saldo nya dah email 3x balasannya aneh bantuannya dong tgl 3 April otw soalnya tar gak ada travelnya gua yang rugi cok,negatif,negatif,
0c6e3b82-992f-4655-b3fc-1dfed2f57810,"hallo cs redbus. saya mau komplain terkait tiket saya, saya sudah menunggu di lokasi 2 jam",,negatif,negatif
daeef147-dc50-4c79-8c76-eb89262cd2fc,aplikasi super untuk kaum bismania 🙏,,positif,
ef59105e-de23-48a1-8b19-768a86698da1,great,,,
84183d3d-7001-4fa6-a3be-73e6c1f5ff79,"saya salah tanggal, pas konfirmasi ke shuttle bis nya gk bisa d refund atau d tuker dengan yg hari ini, tolonglah belum harinya kok gk bisa d refund atau d tuker hari, MENGECEWAKAN!!!!!!",,negatif,
6ca64372-3fe0-41ba-9217-f6e189cdc7f5,lumayan membantu,,,
cf0a3489-9873-4569-a62c-a9516e7cee2b,baru kali ini saya kecewa banget sama aplikasi ini di tiket jam 19:30 tapi saya nunggu dari jam 19:00 gak dateng² pdahal saya sudah di titik lokasi penjemputan dan saya nanya sama abang² tukang parkir ternyata bukan jalur bus jujur saya kecewa bangettt,,,negatif
8834f4dc-f106-4e55-b435-215dcf939a8f,KURANG PUAS DENGAN APLIKASI INI,,,
e32e2c9f-b963-4e7b-bdb1-4762883075b6,gmn sih ini apk,,,
ab736843-639a-4922-8891-93d9ec97804d,keren,,,
272b37fb-270f-423a-b3b4-f5dee85f1201,di pbayaran bisa pake dana,positif,,
d6b42692-4628-48a9-9308-dd38b4011822,"bagus sekali.. sangat membantu bisa pesan tiket bus jauh"" hari",positif,,
12e6ded9-ec5a-4129-a2fc-9f221953d84f,aplikasi burik,,,
39f938bd-3ebc-4373-b09d-1b71a5f9aa00,"Coba ke bantuan aplikasi redbus, singkat nya sy baru naik bis 18.30 dengan bis mega citra wisata, saya sebagai konsumen sangat dirugikan, pesan bis royal kencana tp naik bus diarahkan nya naik mega citra wisata, mana ini bis pengganti nya ugal2an, g tau mesti komplen kmn",,negatif,negatif
cec7443f-36c3-49c5-9900-234b4d146580,setiap check rute lampung - jogja selalu gk ada. ini bikin sistem nya gimana dah,,negatif,
06e64284-d146-4632-8d14-7b10a10ba77e,sangat membantu sekali,,,
9ad3aa4b-c3f6-4139-9a2d-2aae7d2e5bce,Bagus sih tapi kenapa kode QR booking tiketnya error kalo bisa diperbaiki.,negatif,,
7f61c0e6-cdc3-4ed1-9fe5-a0466c24091c,terimakasih redbus,,,
c1b45e8c-b640-4e81-b25b-b365406a7d99,mantap👍,,,
a836da07-dd44-4103-9e10-926030fc2fdd,manajemen ga jelas,,,
bd178d3c-4a37-4191-90fc-a24f8e80ff2f,baru pakai sekali mengecewakan. pesan executive po sumber alam dptnya odong² tdk ada toilet bantal n selimut dan penumpang jd satu sama paket barang. komplain ke po malah disuruh komplain ke aplikasi redbus. kata po bus tidak ada kesesuaian aplikasi dan po bus...padahal saya pesan pulang pergi tp beda po bus....untuk yg keberangkatan atau pergi gak ada masalah sesuai fasilitasnya executve bus sinar jaya....yg jd pertanyaan kok bisa tidak ada kesesuaian antara rebus dan po sumber alam???,,,negatif
798442db-c89a-410b-ac53-60d01f7cc215,tolong di tambah lokasi titik naik yang searah jalan bus nya dan di infokan titik akuratnya tempat naik dengan GPS,,negatif,
351608f1-a700-4cca-b1df-30b6cbd59246,Dari H+5 sampai H+ 7 saya cari tiket bus di red bus nggak bisa² aplikasinya tidak bisa menampilkan bus yg ada,,negatif,
3845d067-6581-4049-af3f-80750a3a17b6,the best pokok e bus nya masyallah 🤗,,,positif
ab277c77-840c-4901-bfa8-dd3559e47352,jangan mau donlod aplikasi ini daerah Sumatra nggk bisa,,negatif,
827977a2-9cdf-4630-bd8e-8584e71ae864,oke,,,
a54628e8-3082-4f80-a3ef-34f0f55c9b5e,good and easy to use...thank you,,positif,
936dfe24-1e7c-4b92-a7dc-45169093f598,tolong dibantu sy pesan bus haryanto buat tgl 26/03/2026 pas hari H datang keagen jam 5 pagi bus belum ada dan bus juga ga jelas keberadaan (po.haryanto),,,negatif
10448934-50d9-4a40-81d7-365735320da0,aplikasi gbisa direfund gimana caranya kita udah pesan bus,,negatif,
668550bb-0b39-48ab-9290-c92d2df79d80,bagus dan gampang pesan tiket,positif,positif,
685a7523-babe-404c-832f-5df6882844d4,terbaikkk,,,
ad9f5b8e-3e05-4608-91aa-6f8646d52911,simpel ga ribet,,,
ebad8881-dd4f-407f-9e3e-cdf2760d393b,smoga sesuai harapan,,,
f472cf79-9dae-4801-a871-2d2c0a025f42,pelayanannya crew payah banget,,,negatif
41ad5ea3-bfc7-4c20-aaa2-9c1a7d684af7,tingkatkan pelayanan armada,,,
283b5c87-8f89-49e7-a4d9-74af20d19bcf,busnya bagus,,,positif
e2a6c21f-8b64-4426-b6d6-b0ded306a082,aplikasi masih perlu banyak evaluasi gua sering kena imbas dari segi penjadwalan yang buat gua rugi uang dan waktu pemberangkatan yang molor 3 jam gua udah sering rugi pake apk ini,,negatif,negatif
c0cdb7d4-181a-4604-9113-5edb375ccd5d,Mantul,,,
9fb706ca-e923-41df-87e6-e9bfeaa8496e,Banyak pilihan bus dan waktu keberangkatan,,positif,
e86617b5-ff4f-485c-b2c4-25c8a1ce10eb,loading masuk aplikasi nya lamaaa,,negatif,
592e9467-2126-46c6-a058-f1955e49dfad,permudah pemesanan tiket,positif,,
74cd2533-d2fa-402d-81df-15f53999458c,redBUS sll JD langganan saya. pelayanannya sangat membantu dalam perjalanan. terima kasih redBUS,,,
e150efbe-d323-41bb-9fb6-72e223cb0081,pesanan gagal pembayaran diterima refund butuh 5-7 hari,negatif,negatif,
dd6ee3af-ac0d-433a-8b7f-b57c79578aa8,ribet refundnya..gak gentle company,negatif,negatif,
ec854d93-2739-4727-95ec-3481e173af44,Overall bagus,,,
4bd59aeb-fe96-42f3-abd1-b538c53625e5,harga tiket bus ketika cetak 345 rb,,,
b4195339-847a-43d9-8f13-66ef22058e23,Perdana nyobain tapi berkualitas 👍,,,
cef3f533-5ad8-43b6-befe-1a6355773329,goodjob,,,
20ceea78-6257-4a35-9ae5-a58042e8f011,Bagus membantu,,,
06c9830e-39b6-4cf0-bcdd-9857234c8984,aplikasinya bagus,,,
7b5ccd81-1c55-47c6-aeb8-2c6c85376a06,gampang prosesnya,,,
1476921f-e210-4305-8a66-6f2c3a09a320,Aplikasi tidak jelas.. saya sudah rugi tiket uang tidak ada refund Cs juga tidak jelas pemberangkatan saya d tunda dua kali dengan bus ranajaya denpasar - jawa. jangan pernah percaya sama redbus dan redbus tidak ada tanggung jawab kalau barang hilang di bagasi yang jadi pertanyaannya untungnya beli tiket pakek redbus tidak ada sama sekali. redbus cuman calo saja tidak punya tanggung jawab.. JANGAN PERNAH BELI TIKET LEWAT REDBUS AKAN RUGI BESAR KARENA CUMAN AGEN CALO TIDAK PUNYA ARMADA BUS,,negatif,negatif
3f707a38-99e6-4b08-9771-a420c10951b7,saya kan sdh ajukan cancel kok ngk ada pemberitahua dr pihak busnya ya?saya jadi di telfon trus nih tolong dong ini jadi miskom lo.harus nya klk sdh saya ajukan cancel di kasih tahu dr pihak bus nya.tolong di perbaiki lg kinerjanya.,,negatif,
a79f7a93-8115-4eda-abb5-3dc6f1df7b80,keren,,,
c83e6af8-9ea1-423d-83cc-e08862a5f837,memudahkan pembelian tiket,positif,,
66e9c66b-a01d-40b4-9ffc-7f4caefb44b1,Bagus.Pesan tiket lebih simple.Hemat waktu dan tenaga...,positif,positif,
cde58fb7-7d6f-40f8-acf9-7129eb65a4ab,mantap,,,
